real_caption,predicted_caption
computed tomography of the head: coronal view showing the effacement of the left lateral ventricle frontal horn and 5-mm left to right midline shift (yellow arrow) secondary to intraparenchymal hemorrhage (red arrow),coronal tomography
computed tomography of the head showing large intraparenchymal hemorrhage of the left anterior temporal lobe and left inferior frontal lobe (arrows) with surrounding edema and mass effect.,computed tomography of the left showing large mass hemorrhage and the left frontal and lobe and the frontal lobe lobe and and surrounding the and the with
retroperitoneal mass detected on enhanced abdominal computed tomography. the yellow arrow indicates the tumor was closely related to the liver.,enhanced mass on on the computed computed tomography.
ankle x-ray (lateral view). no abnormality found on plain x-ray.,plain x-ray on view)
chest ct at relapse showed pericardial effusion and ground glass bilateral opacities.,chest ct showed bilateral showed bilateral effusion at bilateral glass opacities. pleural
brain mri axial flair showing hyperintensities in the anterior temporal lobe bilaterally. flair: fluid-attenuated inversion recovery,mri mri brain flair mri hyperintense in the anterior temporal lobe nodule
brain mri coronal t2 showing hyperintensity in the right anterior temporal lobe,coronal mri showing mri mri anterior in the right temporal temporal lobe
"longitudinal long-axis transthoracic echography after an uneventful vegetation excision, partial leaflet resection, and reconstruction by pericardial patch and ring annuloplasty (the latter is indicated by the arrow). traces of colour doppler flow in the left atrium indicates severe mitral regurgitation resolution after surgery. anatomical landmarks: aa, ascending aorta; la, left atrium; lv, left ventricle; rv, right ventricle.","transthoracic sonogram view. echocardiogram, and admission. abnormal and is the left after in lv after an effusion; and lv in ring.abbreviation: right and shown by an left the of the doppler echocardiographic is the left atrium; is left mitral leaflet is of admission. the variations is the aorta after left atrium; ra, left atrium; ra, right ventricle."
"the whole body f18-fdg pet/ct tomography scan (july 31, 2009) showing multiple enlarged lymph nodes on left supraclavicular area. f18-fdg-pet/ct = fluorine 18 fluorodeoxyglucose- positron emission tomography/computed tomography.",pet/ct left body radiotherapy left scan scan = left = = multiple enlarged left nodes = the supraclavicular lymph
disappearance of fdg accumulation during the subsequent patient follow-up.,patient of the pet/ct of the patient patient 2
the typical chest x-ray finding of a patient with coronavirus disease 2019 infection showing bilateral infiltration.,chest chest chest x-ray of with the bilateral with bilateral disease with
"coronal view of the lesion within the left adnexa, which contains a thin septation measuring 4.3 cm and adjacent free fluid extending to the posterior cul-de-sac and a homogeneously enlarged liver.",coronal view of the adjacent measuring the adjacent posterior and can a mixed fluid and up and and a to fluid collection to the adjacent to the a mixed and left
computed tomography image of the abdomen showing adrenal mass on axial plane. image showing heterogenous 7.7 cm lesion (white line measure) appearing to be arising from left adrenal glands in contact with the upper pole of left kidney with areas of hypodensity suggesting necrosis.,axial tomography image showing the adrenal on heterogenous gland. (white the image
postoperative panoramic radiograph at one-year follow-up showing the management of high caries risk patient.,postoperative panoramic radiograph at the postoperative panoramic the mandible. of the intensity showing at
transthoracic echocardiogram. ao=aorta; pa=pulmonary artery; pda=patent ductus arteriosus.,"transthoracic echocardiogram,"
"plain radiograph of the pelvis shows deformation of the left femoral head, narrowing of hip space, and osteophyte hyperplasia.",plain radiograph of the pelvis shows left of the pelvis hip head. and of the and hip pelvis formations
"operative planning ultrasound prior to ultrasound-guided subcutaneous collection drainage and appendicolith retrieval. the red arrow indicates the hypoechoic collection with some internal echoes overlying to the abdominal wall (green arrow), with internal appendicoliths (white arrows). the collection measured 34 mm deep to the skin.","abdominal and the with to the arrow tissue with with the and the red arrow indicates the red and with the mobile jugular and the the red ultrasound (white arrow), and the jugular internal arrows). the red with mm mm arrow to the red the the arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow arrow"
ct chest before starting chemotherapy showed bilateral parenchymal metastatic nodules(red arrow),chest showed ct bilateral showed
chest x-ray showed left-sided pneumothorax (yellow arrows) and ict in situ (red arrow).,chest x-ray showed left-sided left-sided (red arrow). in left-sided arrow). left-sided showed arrow).
post-pleurodesis chest x-ray.,chest chest x-ray.
computed tomography scan showing metallic object in appendix,computed tomography scan showing hypodense minicoils: in relation in
"chest ct scan of a novel false-negative pc patient. a 44-year-old nonsmoking female with a ground-glass opacity in the left lower lung showed false-negative crag lfa detection in the lung aspirate after ct-guided percutaneous lung biopsy. no suitable pathological tissue was obtained and the patient eventually underwent thoracoscopic surgery and was diagnosed with pc. crag = cryptococcal capsular polysaccharide antigen, ct = computed tomography, lfa = lateral flow immunoassay, pc = pulmonary cryptococcosis.",a ct scan showed the ct and the in the ct chest and patient a ct opacities was the patient lower lung with a
"representative case with pulmonary cryptococcosis showed a nodule accompanied by pleural stretch signs, positive for crag in the lung aspirate, but negative in the serum. the patient was confirmed to have pc by histopathological examination. crag = cryptococcal capsular polysaccharide antigen, pc = pulmonary cryptococcosis.",representative axial 2. a edema by a patient in by a line pulmonary showed for a lung the patient cancer
chest radiograph showing dextrocardia,chest radiograph showing dextrocardia
"example of artificial intelligence‐based automated analysis of l3 body composition in an 18‐year‐old male patient with diagnosed marfan syndrome. each segmented tissue is coded with a different colour: psoas muscle = purple, skeletal muscle (except psoas muscle) = green, visceral fat = dark green, blue = subcutaneous fat. tissue density and area were automatically calculated using visage version 7.1.",example of a tissue and
anterior-posterior chest x-ray depicting lung volumes bilaterally with bibasilar atelectasis. also noted is right lateral chest wall subcutaneous emphysema and right sided rib fixation hardware.,anterior-posterior chest x-ray on right base with and right with
mri in t2 weighted sequence with unclear vascularised structure (arrow) at the hepatic hilus with signal change.,mri at the weighted mri signal gadolinium (arrow) (arrow) in at the hepatic lesion. with gadolinium in
anterior-posterior tibia-fibula radiographs of initial open tibia/fibula shaft fractures.,initial x-ray.
anterior-posterior tibia-fibular intra-operative radiographs of irrigation and debridement with concomitant flexible nailing of the tibial shaft.,anterior-posterior plain with with of the
one-month post-operative lateral tibia-fibula radiographs of flexible nailing of the tibia.,post-operative lateral lateral radiographs of of the
three-month post-operative anterior-posterior tibia-fibula radiographs of flexible nailing of tibial shaft.,post-operative
post-operative lateral tibia-fibula radiographs of revision open reduction and internal fixation with removal of flexible nails of tibial shaft.,post-operative lateral radiographs internal of internal with reduction of internal fixation of internal of internal internal of internal with
patient affected by symptomatic fibrous dysplasia underwent total excision and replacement with custom-made prostheses.,patient with by total patient by and partial replacement and total and genital
"t1-weighted mri image. the image shows a hyperintense focus in the white matter of the right occipital lobe, representing a tiny hemorrhage (white arrow).",t1-weighted mri image in right shows a hyperintense signals in the right arrow). in the right occipital horn right the hyperintense a in arrow).
a ct scan of the chest the scan shows a small cavitary nodule in the anterior segment of the left upper lobe (white arrow).,chest small scan of the left ct left of a small nodule segment in the left segment of the left upper lobe (white arrow).
abdominal ct scan the scan shows a small septated cystic lesion in segment 8/1 of the liver (white arrow).,abdominal ct scan shows liver shows a small cystic cystic lesion (white the of cystic the liver (white arrow).
a ct scan of the chest. the scan shows a small sub-pleural nodule-like consolidation (white arrow).,a small scan shows the small a small shows a small pleural small (red (white arrow).
"ground-glass nodules have become larger, and cystic air spaces have appeared in their centers.",air opacity
cystic lesions have spread and increased in number.,lesions lesions in lesions in cystic lesions cystic
ct scan of the maxillofacial area without contrast showing lytic lesion of the right mandible.,ct scan without the right ct without contrast ct the lesion of the right mandible.
preoperative radiograph of a female 35-year-old patient with left hip dislocation and fracture of the femoral head (pipkin type 1 fracture),preoperative radiograph of a type patient female with type hip radiograph of type of a femoral head and femoral 2 radiograph with left radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph radiograph
follow-up radiograph 2 years postoperatively,follow-up radiograph
ct thorax after completing 9 months of medical treatment and surgical debridement of abscess. shows complete resolution of chest wall mass and intact bony structure underneath.,chest of ct surgical wall months of thorax of shows homogeneous emphysema and thorax
angiographic image showing left main coronary artery (lmca) dividing into circumflex (cx) and left anterior descending artery (lad). lad is seen only up to the first part and then the diagonal branch is seen with 90% stenosis. circumflex is seen with 80% to 90% stenosis.,coronary image showing the anterior coronary artery with with and the artery artery left anterior descending artery with with to seen with left to the left coronary and left seen left artery with seen with left to
cone-beam computed tomography scan showing radiopaque nonhomogeneous mass with calcification flecks on the lingual aspect of the right bicuspid region (arrow).,computed computed tomography scan showing the mass mass with the on showing the right mass of the right kidney. the with
