real_caption,predicted_caption
"t1-weighted mri image. the image shows a hyperintense focus in the white matter of the right occipital lobe, representing a tiny hemorrhage (white arrow).","t1-weighted mri image. the image shows a hyperintense focus in the white matter of the right occipital lobe, but a tiny hemorrhage (white arrow)."
a ct scan of the chest the scan shows a small cavitary nodule in the anterior segment of the left upper lobe (white arrow).,a ct scan of the chest the scan shows a small nodule nodule in the anterior segment of the left upper lobe (white arrow).
abdominal ct scan the scan shows a small septated cystic lesion in segment 8/1 of the liver (white arrow).,abdominal ct scan the scan shows a small cystic cystic lesion in segment segment of the liver (white arrow).
a ct scan of the chest. the scan shows a small sub-pleural nodule-like consolidation (white arrow).,a ct scan of the chest. the scan shows a small nodules consolidation consolidation (white arrow).
"ground-glass nodules have become larger, and cystic air spaces have appeared in their centers.",ground-glass nodules have been left and cystic air air have been in diameter infiltrates
cystic lesions have spread and increased in number.,cystic lesions revealed and and increased in situ.
ct scan of the maxillofacial area without contrast showing lytic lesion of the right mandible.,ct scan of the spine area without contrast showing lytic lesion of the right mandible.
preoperative radiograph of a female 35-year-old patient with left hip dislocation and fracture of the femoral head (pipkin type 1 fracture),preoperative radiograph of a female patient patient with left hip dislocation and fracture of the femoral head neck type 1
follow-up radiograph 2 years postoperatively,follow-up radiograph 2 years years
ct thorax after completing 9 months of medical treatment and surgical debridement of abscess. shows complete resolution of chest wall mass and intact bony structure underneath.,ct thorax after esophageal months months of covid-19 treatment and surgical diameter of abscess. shows complete resolution of chest wall mass and intact bony has view
angiographic image showing left main coronary artery (lmca) dividing into circumflex (cx) and left anterior descending artery (lad). lad is seen only up to the first part and then the diagonal branch is seen with 90% stenosis. circumflex is seen with 80% to 90% stenosis.,angiographic image showing left main coronary artery total vascular into circumflex (cx) and left anterior descending artery stenosis lad is seen up up to the first part and the the branch branch is seen with minimal with with with seen due to to prevent
cone-beam computed tomography scan showing radiopaque nonhomogeneous mass with calcification flecks on the lingual aspect of the right bicuspid region (arrow).,contrast-enhanced computed tomography scan showing radiopaque radiopaque mass with calcification fixation on the lingual aspect of the right region region (arrow).
